path,sha256
evidence/cost_stress.csv,40b7597f0d3abb471d777351eb066a66bfe16a91e47e90fe6b7d94fb8379dffe
evidence/development_session_returns.parquet,1aeccdece2b2a5009a4e813e10f6838ba921f4fbcf97f7ebb59f56c585059a94
evidence/fold_audit.csv,da82ca93ffbfd5e23719c9c0b7eb156d94fdcae9303564147012bb4c2fa1c956
evidence/managed_money_reports.parquet,c98f6de5912cbbe9cf5b1514a1b92c3a9ddfdca117b66a1b4cb78afcb8b19652
evidence/positions_hold1_threshold0p5.parquet,e08bdc892bff72d11384ec7cb047ead6369572c62403ba7690802561fbb4314d
evidence/positions_hold1_threshold1p0.parquet,44614fcccbf026fa37a507164c1f44bf08c324479bd4581fcc78fdd9d4732e95
evidence/positions_hold3_threshold0p5.parquet,8d25ff9ab3250a57bba77de4052ca20cc86728961bdfccebeabf6759ff710206
evidence/positions_hold3_threshold1p0.parquet,b358957be102c5a3b1257250d852b7469cfff0b0b6223223269b056a9e6c4060
evidence/positions_hold5_threshold0p5.parquet,dc5e54d25b0d5fb0bffbbee6c7b9609a59b34a67cba210f4bb7f582a7e954cf1
evidence/positions_hold5_threshold1p0.parquet,5424bf3bd08df53cc0abd3422289fac7ffef7a1c4a586bd1d099781885e0caab
evidence/returns_hold1_threshold0p5.parquet,4aba7553ff20abe375294bfde5f6ef920b903319d1ed2776023bbfaa41fdccb8
evidence/returns_hold1_threshold1p0.parquet,21db271effe9004ee875cab78b11725cb7576645328a69ef2b1df764bf1565e3
evidence/returns_hold3_threshold0p5.parquet,4f3e081e2bdfa8bc331235c507ff4513f5024223052befa45829fd404534f7aa
evidence/returns_hold3_threshold1p0.parquet,0b2f34e92898040201258bda4a917281447fcf11ba8b9229c1c167e59d6b2678
evidence/returns_hold5_threshold0p5.parquet,1859a67f11e2812f77673bb229742d8b235bbe5396e6d3ab577fec8df46cd8a4
evidence/returns_hold5_threshold1p0.parquet,d699291eb3fffacd84ab95abef665378414523f01de65a218402d13db32568f0
evidence/run_manifest.json,220e255fba8e5f42b98ae8c92bda3d9bb49a1fbad0450993f303996cc222473d
evidence/strategy_registry.csv,d8dda0fbcd3e31a7f1fa674e35cbe8101def8029d1a85be3929efcf8df3b7ef1
MASTER_INDEX.md,3508b0b9cf7d9512b044610a702030a685d6f4427db9f7aac0427a8bd98e2f26
source_snapshot/pyproject.toml,45d248718b23a9f620e60fd926a84be92a7af19fc28a91a6ff2650e85ddb4863
source_snapshot/research_program__hypothesis_registry.csv,54cdfc3691db7c2d8d633df42ad5797bfd9e9b69e7907e57d385cf82a8af6711
source_snapshot/research_program__RESEARCH_LOOP_PROTOCOL.md,7155dd3324028f8cd2704d7e9cf02eeea3aa1ce09bfd77db4af0e26782a5180a
source_snapshot/src__systematic_research__managed_money_diffusion.py,dd7048d24f0b84630f15b10ab27e6bbbff2967b66eb5df23bc35a62525c67106
source_snapshot/uv.lock,fcf2f208a4f0f6b11830ec6f32e9a209c99bde8bd014c452ea72dfb760de4f66
strategies/hold1_threshold0p5/CL/daily_evidence.parquet,a84005f088c5bfe792d5d14377c518ba556600876f6677141b80e860de8a353a
strategies/hold1_threshold0p5/CL/strategy_definition.json,5a2c5e91a4a48a06098752340d8f1249841c4874f4b24e61c49560a921249153
strategies/hold1_threshold0p5/GC/daily_evidence.parquet,2c74f64db119322075e13fcd7d1b6bfb551ea2dfb45ad7d33e47ae5d9544780e
strategies/hold1_threshold0p5/GC/strategy_definition.json,d391b83a91374d4b46483cc5796ee45ea60d81be9197e1d799e4522d801fe815
strategies/hold1_threshold0p5/HG/daily_evidence.parquet,1ae09d0096f4f1e1dfc66ff3559aa3ca0201b74515c90009f1a273b994d9a7e2
strategies/hold1_threshold0p5/HG/strategy_definition.json,1c813c2df41b5867418d37df6ce18df2b455413b0cc1ad50f8321c9c0adf2283
strategies/hold1_threshold0p5/NG/daily_evidence.parquet,53d0220bd8fd9ee471199278a48d4e908d7037b9e189df965829a4367b5db753
strategies/hold1_threshold0p5/NG/strategy_definition.json,b5305310f87d3eb1acab9102e11a602256d2807d3dccfa6a0e1f007142127712
strategies/hold1_threshold0p5/ZC/daily_evidence.parquet,7a48a4c4d18badc87d0550b49596e1c0677692399956caa774db22f5609d9980
strategies/hold1_threshold0p5/ZC/strategy_definition.json,52b71508a18c40c294fab3a878890795ef275236de7313e70d412bcc8b272406
strategies/hold1_threshold1p0/CL/daily_evidence.parquet,d8260fe1129526f418c260ca69aaa2137894dcf8f8ff7d5da10bd2f89416d3ae
strategies/hold1_threshold1p0/CL/strategy_definition.json,1972dec052fd8b3d123fd2c1a6f053bd62db034b88b7cacb058c6e4b57ab1057
strategies/hold1_threshold1p0/GC/daily_evidence.parquet,d7cd88acb4c069c01d3d6e7cbc867007eae987ac617946e192dd33c3599a5b1a
strategies/hold1_threshold1p0/GC/strategy_definition.json,6a56a37ab5e31b11b9bccebd11d9498e4b142019cd02e83813996e7b0d50fac4
